ID,Category,Prompt,Good Response,Bad Response,Good Score,Bad Score,Annotation
FQ-001,Factual Q&A,What is the speed of light in a vacuum?,"The speed of light in a vacuum is approximately 299,792,458 meters per second (about 3 × 10⁸ m/s), often denoted as 'c'. This is a fundamental physical constant and, according to special relativity, the maximum speed at which information or matter can travel.","Light travels at around 300,000 km per hour, which is really fast. It's one of the fastest things in the universe.",9,2,"Good response: accurate value with correct units (m/s not km/h), includes scientific notation, mentions 'c' notation, and connects to special relativity for depth. Bad response: critically wrong units (km/hour vs km/second — off by factor of 3600), vague phrasing, no scientific context."
FQ-002,Factual Q&A,Who developed the theory of general relativity and when?,"Albert Einstein developed the theory of general relativity. He published his field equations in November 1915, completing the theory after roughly a decade of work. General relativity extended his earlier special relativity (1905) and reinterpreted gravity not as a force but as a curvature of spacetime caused by mass and energy.",Einstein came up with relativity in the early 1900s. It was a revolutionary idea about space and time.,9,3,"Good response: correct person, precise date (November 1915), distinguishes general from special relativity, explains the core concept. Bad response: vague date ('early 1900s'), no distinction between special and general relativity, no actual explanation of what the theory says."
FQ-003,Factual Q&A,What is the powerhouse of the cell?,"The mitochondrion (plural: mitochondria) is known as the powerhouse of the cell. It generates most of the cell's supply of adenosine triphosphate (ATP), the molecule used as chemical energy currency, through a process called cellular respiration (specifically oxidative phosphorylation in the inner mitochondrial membrane).",The nucleus is the powerhouse of the cell because it controls all cell activities.,9,1,"Good response: correct organelle, explains ATP, names the exact process (oxidative phosphorylation) and location. Bad response: factually wrong — confuses mitochondria with nucleus. The nucleus is the control center, not energy producer. Critical hallucination-style error."
FQ-004,Factual Q&A,What causes the seasons on Earth?,"Earth's seasons are caused by the tilt of its rotational axis (approximately 23.5 degrees), not by its distance from the Sun. As Earth orbits the Sun, this axial tilt means different hemispheres receive sunlight at different angles and for different durations throughout the year. When the Northern Hemisphere tilts toward the Sun, it experiences summer; when it tilts away, it experiences winter.",Seasons are caused by Earth moving closer to and farther from the Sun during its orbit around the Sun.,9,1,"Good response: correctly identifies axial tilt (23.5°) as cause, explicitly debunks the common misconception about distance, explains both angle and duration of sunlight. Bad response: states the classic misconception (distance from Sun) — factually incorrect. Earth is actually closest to the Sun in January (Northern Hemisphere winter)."
FQ-005,Factual Q&A,What is the largest organ in the human body?,"The skin is the largest organ of the human body. In adults, it covers approximately 1.5 to 2 square meters and weighs around 3–4 kg. It serves multiple functions including protecting against pathogens, regulating body temperature, and providing sensory information.",The liver is the largest organ in the human body.,9,1,"Good response: correct answer (skin), provides quantitative data (area and weight), explains function. Bad response: factually wrong — the liver is the largest internal organ, but skin is the largest organ overall. A subtle but important distinction the evaluator must catch."
FQ-006,Factual Q&A,How many bones does an adult human body have?,"An adult human body has 206 bones. Interestingly, babies are born with around 270–300 bones, but many of these fuse together during childhood and adolescence. By early adulthood, the count stabilizes at 206.",Humans have about 300 bones in their body.,9,3,"Good response: correct adult count (206), adds developmental context about infant bones fusing — which is accurate and informative. Bad response: gives the infant count as the adult count, showing no distinction between developmental stages."
FQ-007,Factual Q&A,What is the capital of Australia?,"The capital of Australia is Canberra. It was purpose-built as a compromise after Sydney and Melbourne both wanted to be the capital. Located in the Australian Capital Territory (ACT), Canberra has been the seat of the Australian government since 1913.","The capital of Australia is Sydney, as it is the largest and most famous city in the country.",9,1,"Good response: correct answer (Canberra), adds historical context about why it was chosen, includes ACT detail. Bad response: states Sydney, a very common misconception — factually wrong. The bad response even justifies the wrong answer with faulty reasoning ('largest city = capital')."
FQ-008,Factual Q&A,What is DNA and what does it do?,"DNA (deoxyribonucleic acid) is a double-stranded molecule that carries the genetic instructions for the development, functioning, growth, and reproduction of all known organisms and many viruses. It is made of nucleotides containing one of four bases: adenine (A), thymine (T), cytosine (C), and guanine (G). DNA is organized into chromosomes found in the cell nucleus and encodes genes, which are instructions for producing proteins.",DNA is the stuff in your cells that makes you who you are. It contains your genetic code passed down from your parents.,8,3,"Good response: full name expansion, structure (double-stranded, nucleotides, four bases), location (nucleus, chromosomes), function (protein encoding). Bad response: technically not wrong but extremely vague — 'stuff in your cells' is not useful, no mechanism or structure explained. Appropriate for a 5-year-old, not an informative answer."
FQ-009,Factual Q&A,What year did World War II end?,"World War II ended in 1945. Victory in Europe (V-E Day) was declared on May 8, 1945, following Germany's unconditional surrender. The war in the Pacific ended on September 2, 1945 (V-J Day), when Japan formally surrendered aboard the USS Missouri following the atomic bombings of Hiroshima and Nagasaki.",World War II ended in 1945 when the Allies won.,9,4,"Good response: correct year, distinguishes two end dates (V-E Day and V-J Day with exact dates), mentions USS Missouri, explains cause of Japan's surrender. Bad response: correct year but adds nothing — 'Allies won' is not informative and ignores the nuance of two separate surrender events."
FQ-010,Factual Q&A,What is the Pythagorean theorem?,"The Pythagorean theorem states that in a right-angled triangle, the square of the length of the hypotenuse (the side opposite the right angle) equals the sum of the squares of the other two sides. Written as a formula: a² + b² = c², where c is the hypotenuse and a, b are the other two legs. For example, a triangle with sides 3, 4, and 5 satisfies 9 + 16 = 25.",The Pythagorean theorem is a² + b² = c². It's a famous math formula.,9,3,"Good response: defines hypotenuse, explains what each variable represents, gives a concrete numerical example (3-4-5 triple). Bad response: gives the formula but with no explanation of variables, no definition of hypotenuse, no example — not useful to someone who doesn't already know it."
FQ-011,Factual Q&A,What is photosynthesis?,"Photosynthesis is the process by which plants, algae, and some bacteria convert light energy (usually from the Sun) into chemical energy stored in glucose. The overall equation is: 6CO₂ + 6H₂O + light energy → C₆H₁₂O₆ + 6O₂. It occurs in the chloroplasts of plant cells, where chlorophyll absorbs light. Photosynthesis has two main stages: the light-dependent reactions and the Calvin cycle.",Photosynthesis is how plants make their own food using sunlight.,9,3,"Good response: complete chemical equation with reactants and products, mentions chloroplasts and chlorophyll, names the two stages. Bad response: one-sentence summary that is technically true but contains zero mechanism, no chemistry, no cellular detail — would score poorly in any evaluation rubric."
FQ-012,Factual Q&A,Who wrote the play Hamlet?,"Hamlet was written by William Shakespeare, likely between 1599 and 1601. It is one of Shakespeare's most famous tragedies, centered on Prince Hamlet of Denmark and themes of revenge, mortality, and corruption. It is also one of the longest plays in the Shakespearean canon.",Hamlet was written by Shakespeare.,8,4,"Good response: correct author with full name, approximate date, genre (tragedy), key themes, and an additional interesting fact. Bad response: technically correct but minimal — just author, no date, no context, no themes. For a simple factual question this might suffice, but provides no value beyond the bare fact."
FQ-013,Factual Q&A,What is the boiling point of water at sea level?,"Water boils at 100°C (212°F) at standard sea-level atmospheric pressure (1 atm or 101.325 kPa). The boiling point decreases at higher altitudes due to lower atmospheric pressure, which is why cooking times must be adjusted at elevation.",Water boils at 100 degrees.,9,3,"Good response: both temperature scales (°C and °F), specifies the condition (sea level, 1 atm), adds the altitude effect for completeness. Bad response: omits the unit (100 degrees what? — Celsius or Fahrenheit?), no mention of pressure dependency, ambiguous."
FQ-014,Factual Q&A,What is the difference between a virus and a bacterium?,"Viruses and bacteria are both microscopic pathogens but differ fundamentally. Bacteria are single-celled living organisms with their own cellular machinery (ribosomes, cell membrane, DNA), and can reproduce independently. Viruses are not considered living organisms — they are particles of genetic material (DNA or RNA) wrapped in a protein coat, and can only replicate inside a host cell. Bacteria can be treated with antibiotics; viruses cannot (antivirals are used instead).",Viruses are smaller than bacteria. Both can make you sick but they are different types of germs.,9,2,"Good response: covers cellular structure, reproduction, living vs non-living classification, treatment difference — a comprehensive comparison. Bad response: only mentions size, calls both 'germs' (informal/imprecise), no mechanistic distinction, no mention of treatment differences."
FQ-015,Factual Q&A,How far is the Moon from Earth?,"The Moon's distance from Earth varies because its orbit is elliptical. On average, the Moon is about 384,400 km (238,855 miles) from Earth. At its closest point (perigee) it is approximately 356,500 km, and at its farthest (apogee) about 406,700 km. Light takes about 1.3 seconds to travel from the Moon to Earth.","The Moon is about 384,000 km away from Earth.",9,5,"Good response: average distance in both km and miles, explains orbital ellipse, gives perigee/apogee values, adds light-travel time for perspective. Bad response: correct average (rounded) but presents it as a fixed number without noting the elliptical orbit — technically acceptable but lacks depth."
IF-001,Instruction Following,"List exactly 5 fruits, each on its own line, with no numbering or bullet points.","Apple
Mango
Banana
Strawberry
Kiwi","Here are 5 fruits for you:
1. Apple
2. Mango
3. Banana
4. Strawberry
5. Kiwi
I hope that helps!",10,2,"Good response: exactly 5 fruits, each on its own line, no numbering, no bullets, no preamble. Follows every constraint. Bad response: adds numbering (explicitly prohibited), adds intro sentence and closing sentence (not requested), pads with unnecessary text — fails multiple explicit instructions."
